Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-01-03,1,[],[],[],[],[],[],[],[],[],[],,,,,,,,
2018-01-04,0,[18.16992100000016],[],[],[],[],[],[],[],[],[],,,,,,,,
2018-01-05,1,[-1.5999759999999696],[18.16992100000016],[],[],[],[],[],[],[],[],sharing online albums with google photos,,,,,,,
2018-01-08,1,[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],[],[],[],[],[],[],"google memo author sues, claiming bias against white conservative men",,,,,,,
2018-01-09,0,[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],[],[],[],[],[],,,,,,,,
2018-01-10,1,[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],[],[],[],[],,,,,,,,
2018-01-11,0,[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],[],[],[],,,,,,,,
2018-01-12,1,[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],[],[],changing country codes with google,,,,,,,
2018-01-16,0,[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],[],,,,,,,,
2018-01-17,1,[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],[18.16992100000016],google sells a.i. for building a.i. (novices welcome),,,,,,,
2018-01-18,0,[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],[-1.5999759999999696],,,,,,,,
2018-01-19,1,[-1.6199950000000172],[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],[8.229980000000069],,,,,,,,
2018-01-22,1,[5.680053999999927],[-1.6199950000000172],[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],[4.709961000000021],,,,,,,,
2018-01-23,1,[18.320068999999876],[5.680053999999927],[-1.6199950000000172],[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],[-3.1400140000000647],the google lunar x prize’s race to the moon is over. nobody won.,,,,,,,
2018-01-24,0,[10.119995000000017],[18.320068999999876],[5.680053999999927],[-1.6199950000000172],[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],[5.510009000000082],"using drones and netflix in the andes, but sidestepping google maps",,,,,,,
2018-01-25,0,[-13.089966000000004],[10.119995000000017],[18.320068999999876],[5.680053999999927],[-1.6199950000000172],[5.760009000000082],[-10.75],[],[19.84997599999997],[-0.7800290000000132],,,,,,,,
