Date,Headline
2018-01-05,Sharing Online Albums With Google Photos
2018-01-06,"Google in Toronto’s Streets, and a Focus on Food: Canada Letter"
2018-01-08,"Google Memo Author Sues, Claiming Bias Against White Conservative Men"
2018-01-12,Changing Country Codes With Google
2018-01-17,Google Sells A.I. for Building A.I. (Novices Welcome)
2018-01-23,The Google Lunar X Prize’s Race to the Moon Is Over. Nobody Won.
2018-01-24,"Using Drones and Netflix in the Andes, but Sidestepping Google Maps"
2018-01-26,Sharing Events From Other Google Calendars
2018-02-02,Adding Captions to Images in Google Photos
2018-02-04,Early Facebook and Google Employees Form Coalition to Fight What They Built
2018-02-07,$2.4 Billion Deal for Chelsea Market Enlarges Google’s New York Footprint
2018-02-07,Keeping Google Assistant on Tap
2018-02-07,Why Google’s Bosses Became ‘Unpumped’ About Uber
2018-02-12,Google Makes Its Special A.I. Chips Available to Others
2018-02-13,New Google Tips and Tools for Travelers
2018-02-16,"Farhad’s Week in Tech: Netflix Gets a Star, and Google’s Conflicted Ad Blocker"
2018-02-16,"Google Legally Fired Diversity Memo Author, Labor Agency Says"
2018-02-19,"Google Chrome Now Blocks Irksome Ads. That’s a Good Thing, Right?"
2018-02-19,Why A.I. Researchers at Google Got Desks Next to the Boss
2018-02-20,The Case Against Google
2018-02-24,Facebook and Google Struggle to Squelch ‘Crisis Actor’ Posts
2018-03-05,"Google to Sell Zagat to The Infatuation, an Upstart Review Site"
2018-03-06,New Foils for the Right: Google and Facebook
2018-03-06,Google Researchers Are Learning How Machines Learn
2018-03-08,Teaching Activities for: ‘Google Researchers Are Learning How Machines Learn’
2018-03-09,Google Is Trying Too Hard (or Not Hard Enough) to Diversify
2018-03-13,Google’s Security Sweep for Apps
2018-03-14,Google Bans Bitcoin Advertisements in Policy Change
2018-03-20,Google Pledges $300 Million to Clean Up False News
2018-03-22,Chatting Up the Google Assistant
2018-03-24,"Siri, Alexa and That Google Gal Will Get You Only So Far"
2018-03-24,How Calls for Privacy May Upend Business for Facebook and Google
2018-03-24,Timeline: Facebook and Google Under Regulators’ Glare
2018-03-27,"Waymo, a Google Spinoff, Ramps Up Its Driverless-Car Effort"
2018-03-27,Apple Unveils New iPad to Catch Google in the Classroom
2018-03-30,Keeping Personal Appointments Private on Google Calendar
2018-04-01,"They Tried to Boycott Facebook, Apple and Google. They Failed."
2018-04-03,Apple Hires Google’s A.I. Chief
2018-04-04,‘The Business of War’: Google Employees Protest Work for the Pentagon
2018-04-23,"How Facebook and Google Could Benefit From the G.D.P.R., Europe’s New Privacy Law"
2018-04-23,Google’s Parent Company Spends Like It’s Thinking of a Future Beyond Ads
2018-05-04,Google Will Ask Buyers of U.S. Election Ads to Prove Identities
2018-05-08,Google Strikes Humble Tone While Promoting A.I. Technology
2018-05-11,"Kevin’s Week in Tech: Are Google’s A.I.-Powered Phone Calls Cool, Creepy, or Both?"
2018-05-16,Google’s File on Me Was Huge. Here’s Why It Wasn’t as Creepy as My Facebook Data.
2018-05-25,Ireland’s Abortion Referendum Becomes a Test for Facebook and Google
2018-05-26,"As Google Feeds Cats, Owl Lovers Cry Foul "
2018-05-30,How a Pentagon Contract Became an Identity Crisis for Google
2018-05-31,"Protesters Block Google Buses in San Francisco, Citing ‘Techsploitation’"
2018-06-01,Google Will Not Renew Pentagon Contract That Upset Employees
2018-06-06,Google Is in Europe’s Cross Hairs Again: DealBook Briefing
2018-06-07,Google Promises Its A.I. Will Not Be Used for Weapons
2018-06-18,"Google, Rebuilding Its Presence in China, Invests in Retailer JD.com"
2018-06-18,"Google’s Diversity Efforts, Charted"
2018-06-18,Google’s JD.com Deal Shows Silicon Valley Still Wants In on China
2018-07-02,How to Measure a Straight Line in Google Maps
2018-07-05,Tagwalk Wants to Be the Google of Fashion 
2018-07-11,Google’s Parent Births New Businesses: Balloons and Drones
2018-07-13,"‘O.K., Google, Make Me Happy’: In This Novel, Technology Is a Panacea"
2018-07-13,The Google Translate World Cup
2018-07-15,"Banks Report Earnings, and Google Faces Antitrust Fines "
2018-07-18,E.U. Fines Google $5.1 Billion in Android Antitrust Case
2018-07-18,"Thai Boys, Google Fine, Maria Butina: Your Thursday Briefing"
2018-07-18,"Trump, Google, Thai Soccer Team: Your Wednesday Evening Briefing"
2018-07-19,"Trump, Google Fine, British Open: Your Thursday Briefing"
2018-07-19,DealBook Briefing: Google’s E.U. Fine Might Not Matter
2018-07-19,Trump Bashes E.U. Over $5.1 Billion Fine for Google
2018-07-19,"For Android Users, Europe’s Google Ruling Leaves Unanswered Questions"
2018-07-19,A $5.1 Billion Fine for Google Won’t Fix Tech
2018-07-24,Google Shrugs Off $5.1 Billion Fine With Another Big Quarter
2018-07-24,Google and American Oligopolies
2018-07-24,How E.U.’s Google Fine Explains High Cellphone Costs in the U.S. 
2018-07-26,Why Trump Is Right About the E.U.’s Penalty Against Google
2018-08-01,Gaza and Google Translate: Covering the Conflict When You Don’t Speak the Language
