Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0,"sonos, squeezed by the tech giants, sues google",,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0,ford motor company announces details for 2019 q4 earnings conference call,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,1,"cypress wealth services llc has $577,000 stock holdings in ford motor (nyse:f)",johanson financial advisors inc. purchases new stake in ford motor (nyse:f),"atlas brown inc. purchases shares of 16,527 ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1,"google reaches $1 trillion in value, even as it faces new tests",calamos advisors llc has $15.57 million stake in ford motor (nyse:f),honkamp krueger financial services inc. reduces stake in ford motor (nyse:f),ford motor (nyse:f) shares bought by boenning & scattergood inc.,ae wealth management llc boosts holdings in ford motor (nyse:f),ford motor (nyse:f) earns media sentiment rating of -3.73,"ford motor (nyse:f) earning very negative news coverage, infotrie reports",,,,,,,,,,,,,,,,,,
2020-01-17,1,ford is no. 1 in europe commercial vehicle sales and rolled out 8 electrified models to customers in 2019,ford sales fall short in europe,top picks 2020- ford motor f,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,1,ford earns distinction for environmental efforts,"thinking about buying stock in beyond meat, comcast, ford, tilray, or visa?",ford motor (nyse:f) earns daily news impact rating of 2.00,"ford motor (nyse:f) receiving somewhat positive news coverage, study shows",,,,,,,,,,,,,,,,,,,,,
2020-01-22,0,ford promotes underrepresented creators in new ad,"ford, austin city hall fund traffic-fighting startups",blb&b advisors llc has $1.11 million stock holdings in ford motor (nyse:f),blb&b advisors llc has $1.11 million stake in ford motor (nyse:f),"steward partners investment advisory llc sells 15,178 shares of ford motor (nyse:f)",ford motor (nyse:f) shares sold by steward partners investment advisory llc,,,,,,,,,,,,,,,,,,,
2020-01-23,0,"cramer: tesla is a tech company on wheels, unlike ford and gm","the zacks analyst blog highlights: tesla, general motors, ford, volkswagen and bmw ag","zacks investment ideas feature highlights: tesla, apple, ford, general motors and fiat chrysler","former ford ceo on tesla&quot;s ""iconic brand""",,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,have a search warrant for data? google wants you to pay,"executive wealth management llc sells 3,424 shares of ford motor (nyse:f)","fintrust capital advisors llc has $131,000 stake in ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,,
2020-01-27,1,"ex-dividend reminder: ford motor, first republic bank and american campus communities",ferrari exhibits its side of the &#039;ford vs ferrari&#039; le mans drama,ford motor (nyse:f) expected to announce quarterly sales of $37.52 billion,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,ford develops 3d-printed locking wheel nuts to help keep thieves at bay,"thinking about buying stock in advanced micro devices, ford, fuelcell energy, pinterest, or acceleron pharma?","the zacks analyst blog highlights: general motors, ford, fiat chrysler, honda motor and nissan motor",bremer bank national association makes new investment in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,
2020-01-29,0,"tailgate problems prompt ford f-150 recall in canada, but not us",ford&quot;s lincoln partners with rivian for first electric model,rivian to team with ford to build an all-electric lincoln model,"ford motor (f, $8.97) rsi indicator left the oversold zone on january 28, 2020","dowling & yahnke llc has $747,000 stock holdings in ford motor (nyse:f)",ford motor (nyse:f) shares purchased by arizona state retirement system,,,,,,,,,,,,,,,,,,,
2020-01-30,1,"cedar wealth management llc sells 10,828 shares of ford motor (nyse:f)","ford motor (nyse:f) getting very negative press coverage, analysis finds",ford to team with startup to build an all-electric lincoln model,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,0,why google backtracked on its new search results look,ford and eos add voice to custom made wheel nut,charter research & investment group inc. boosts holdings in ford motor (nyse:f),california public employees retirement system reduces position in ford motor (nyse:f),speak out against wheel theft: ford develops &quot;vocal&quot; 3d locking nuts,,,,,,,,,,,,,,,,,,,,
2020-02-03,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,0,top antitrust official is said to recuse himself from google inquiry,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,1,should google shrink to save itself?,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,1,"trump budget would cut loan program used by tesla, ford","mahindramahindra, ford motor joint venture gets approval from cci","thinking about buying stock in apple, bank of america, ford, skechers, or taubman centers?","the zacks analyst blog highlights: general motors, ford, fiat chrysler and tesla","top analyst upgrades and downgrades: abbvie, apple, arch coal, fedex, ford, gm, nvidia, skyworks, stitch fix, wwe and more","ford introduces a special gt edition with a special price: $750,000","corient capital partners llc acquires 2,545 shares of ford motor (nyse:f)","bbva usa bancshares inc. has $165,000 stock position in ford motor (nyse:f)","bbva usa bancshares inc. sells 2,235 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,
2020-02-11,0,ford motor corporation selects luokung&quot;s subsidiary emg as the provider of hd map service for ford china&quot;s autonomous driving project,"ford motor (nyse:f) lowered to ""sell"" at dz bank",ford motor (nyse:f) lowered to neutral at credit suisse group,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,1,"ford recall affects four models and over 200,000 vehicles","ford issues recall for 226,000 ford and lincoln vehicles",,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1,april 3rd options now available for ford motor (f),"thinking about buying stock in ford, facebook, kraft heinz, tilray, or whiting petroleum?","american international group inc. sells 32,637 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,,
2020-02-14,1,"ford executive jim farley to speak at wolfe research global auto, auto tech, and mobility conference 2020","ford motor (nyse:f) getting somewhat negative media coverage, infotrie reports",ford motor co.: the comeback kid has a ways to go,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,0,the great google revolt,"thinking about buying stock in canopy growth corp, ford, fuelcell energy, sprint, or senseonics?","ford motor (f, $8.06) rsi indicator left the oversold zone on february 18, 2020",ford trucks and vans drive 61 per cent sales boost in middle east as f-150 celebrates 43 years as america&quot;s best selling truck,"benjamin f. edwards & company inc. buys 7,771 shares of ford motor (nyse:f)",brokerages expect ford motor (nyse:f) will post quarterly sales of $36.02 billion,analysts anticipate ford motor (nyse:f) will post quarterly sales of $36.02 billion,,,,,,,,,,,,,,,,,,
2020-02-20,0,new mexico sues google over children’s privacy violations,"hankook tires selected as oe for ford super duty f-450, f-550",$0.22 eps expected for ford motor (nyse:f) this quarter,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,0,pnc financial services group inc. trims position in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,0,"thinking about buying stock in advanced micro devices, chesapeake energy corp, ford, inovio pharmaceuticals, or tilray?",aft forsyth & company inc. makes new investment in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,0,ford issues recalls on certain f-series trucks,"ford recalls 200,000 f-150 trucks",ford motor (nyse:f) shares purchased by clarkston capital partners llc,"rejected by wall street, ford&quot;s ceo has support where it matters",cetera advisor networks llc increases position in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,
2020-02-26,0,ford coo sees 2009 crisis flashback on faces of colleagues,"box office: &quot;ford v ferrari&quot; peters out after failing to crack $200,000",ford coo sees 2009 crisis flashback on faces of his colleagues,"thinking about buying stock in chesapeake energy corp, cronos group, ford, lakeland industries, or xerox?","fjarde ap fonden fourth swedish national pension fund sells 122,300 shares of ford motor (nyse:f)",first allied advisory services inc. lowers stock holdings in ford motor (nyse:f),"etrade capital management llc takes $329,000 position in ford motor (nyse:f)",ford motor (nyse:f) hits new 52-week low at $7.55,,,,,,,,,,,,,,,,,
2020-02-27,0,eric schmidt: i used to run google. silicon valley could lose to china.,"facebook, google and twitter rebel against pakistan’s censorship rules","ford motor now #213 largest company, surpassing mckesson","ford-owned spin to expand dockless e-scooter services internationally, launching first in germany and setting sights on france and the uk",andra ap fonden has $2.68 million holdings in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,
2020-02-28,1,deutsche post scraps its electric delivery van built with ford,"toyota sales expected to surge in february, ford&quot;s expected to stall",bank of the west lowers position in ford motor (nyse:f),ford-owned e-scooter firm spin eyes uk expansion,,,,,,,,,,,,,,,,,,,,,
2020-03-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0,tulsi gabbard’s $50 million suit against google is dismissed,star engineer who crossed google is ordered to pay $179 million to company,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,you can’t fight city hall. but maybe you can fight google.,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,0,"logged on from the laundry room: how the c.e.o.s of google, pfizer and slack work from home",,,,,,,,,,,,,,,,,,,,,,,,
