Date,Headline
2020-01-07,"sonos, squeezed by the tech giants, sues google"
2020-01-16,"google reaches $1 trillion in value, even as it faces new tests"
2020-01-24,have a search warrant for data? google wants you to pay
2020-01-31,why google backtracked on its new search results look
2020-02-02,"2020 super bowl commercials: funeral for mr. peanut, tears for google"
2020-02-04,top antitrust official is said to recuse himself from google inquiry
2020-02-06,should google shrink to save itself?
2020-02-19,the great google revolt
2020-02-20,new mexico sues google over children’s privacy violations
2020-02-22,google reaches document protection deal in antitrust fight
2020-02-27,eric schmidt: i used to run google. silicon valley could lose to china.
2020-02-27,"facebook, google and twitter rebel against pakistan’s censorship rules"
2020-03-05,tulsi gabbard’s $50 million suit against google is dismissed
2020-03-05,star engineer who crossed google is ordered to pay $179 million to company
2020-03-10,you can’t fight city hall. but maybe you can fight google.
2020-03-15,trump oversold a google site to fight coronavirus
2020-03-21,google gives cover to trump’s lies
2020-03-23,"logged on from the laundry room: how the c.e.o.s of google, pfizer and slack work from home"
2020-04-05,google searches can help us find emerging covid-19 outbreaks
2020-04-08,google makes stadia gaming service free
2020-04-10,apple and google team up to ‘contact trace’ the coronavirus
2020-04-14,even google and facebook may face an ad slump
2020-04-19,google and facebook must pay for local journalism
2020-04-20,australia moves to force google and facebook to compensate media outlets
2020-04-23,google will require proof of identity from all advertisers
2020-05-07,google sibling abandons ambitious city of the future in toronto
2020-05-16,u.s. is said to plan to file antitrust charges against google
2020-05-20,need recommendations? we’ve got google docs for that.
2020-05-22,why all the shouting about google?
2020-05-29,google rescinds offers to thousands of contract workers
2020-06-02,suit claims google’s tracking violates federal wiretap law
2020-06-04,google’s european search menu draws interest of u.s. antitrust investigators
2020-06-04,"chinese hackers target email accounts of biden campaign staff, google says"
2020-06-19,a former google executive takes aim at his old company with a start-up
2020-06-23,tiny love stories: “i googled ‘crisis’”
2020-06-24,google sets limit on how long it will store some data
2020-06-25,barr’s interest in google antitrust case keeps it moving swiftly
2020-07-07,"a bird? a plane? no, it’s a google balloon beaming the internet"
2020-07-13,how may google fight an antitrust case? look at this little-noticed paper
2020-07-20,google promises privacy with virus app but can still collect location data
2020-07-21,"e.u. deal, u.k. extradition treaty, google: your tuesday briefing"
2020-07-21,google’s virus-tracing apps can allow it to track some users’ locations.
2020-07-23,google takes aim at amazon. again.
2020-07-28,"amazon, apple, facebook and google prepare for their ‘big tobacco moment’"
2020-08-03,"google pixel 4a review: at $350, a win for those on a budget"
2020-08-04,google faces an e.u. investigation into its fitbit acquisition.
2020-08-04,google faces european inquiry into fitbit acquisition
2020-08-05,star technologist who crossed google sentenced to 18 months in prison
2020-08-12,"google, facebook and others broaden group to secure u.s. election"
2020-08-13,fortnite creator sues apple and google after ban from app stores
2020-08-25,"to fight apple and google’s grip, fortnite creator mounts a crusade"
2020-09-01,apple and google to make it easier to opt in to virus tracing
2020-09-02,apple and google are making it easier to opt in to virus tracing.
2020-09-03,justice dept. plans to file antitrust charges against google in coming weeks
2020-09-15,the bumbling 1960s data scientists who anticipated facebook and google
2020-09-21,this deal helped turn google into an ad powerhouse. is that a problem?
2020-09-22,justice dept. to brief states on google antitrust inquiry
2020-09-22,justice dept. case against google is said to focus on search dominance
2020-09-24,"to fight apple and google, smaller app rivals organize a coalition"
2020-09-24,what’s the deal with google now?
2020-09-25,google services go down in some parts of u.s.
2020-09-28,google demands 30% cut from app developers in its play store
2020-10-01,google commits $1 billion to license content from news publishers.
2020-10-06,"12 accusations in the damning house report on amazon, apple, facebook and google"
2020-10-07,google chromecast review: a streaming device that gets better the more it knows
2020-10-07,supreme court hears copyright battle between google and oracle
2020-10-08,labor board accuses google contractor of violating union rights
2020-10-13,google employees are free to speak up. except on antitrust.
2020-10-20,u.s. accuses google of illegally protecting monopoly
2020-10-20,what is happening with the antitrust suit against google?
2020-10-20,read the antitrust lawsuit against google
2020-10-20,it’s google’s world. we just live in it.
2020-10-20,why the government is suing google
2020-10-20,"google, early voting, world series: your tuesday evening briefing"
2020-10-20,"the justice dept.’s lawsuit against google: too little, too late"
2020-10-20,google up against laws that thwarted microsoft (and others since 1890)
2020-10-21,google antitrust fight thrusts low-key c.e.o. into the line of fire
2020-10-21,a readers’ guide to our coverage of the google antitrust case.
2020-10-21,the justice dept. vs. google
2020-10-21,what did google do?
2020-10-21,five questions about the antitrust case against google.
2020-10-21,big tech’s professional opponents strike at google
2020-10-21,google has edge in antitrust fight
2020-10-22,"google, you can’t buy your way out of this"
2020-10-22,top investigator in google case says there ‘was not a rush’ to sue
2020-10-22,the case against google
2020-10-23,"news quiz: russia, google, world series"
2020-10-25,"apple, google and a deal that controls the internet"
2020-10-27,"weekly news quiz for students: google lawsuit, supreme court, found painting "
2020-10-28,"facebook, google and twitter c.e.o.s return to washington to defend their content moderation."
2020-10-30,amazon and google’s true advantage
2020-12-03,federal labor agency says google wrongly fired 2 employees
2020-12-03,google researcher says she was fired over paper highlighting bias in a.i.
2020-12-09,google chief apologizes for a.i. researcher’s dismissal
2020-12-14,google delays return to office and eyes ‘flexible work week’
2020-12-14,google dominates thanks to an unrivaled view of the web
2020-12-14,google’s apps crash in a worldwide outage.
2020-12-14,"vaccines, electoral college, google: your monday evening briefing"
2020-12-16,10 states accuse google of abusing monopoly in online ads
2020-12-17,"after a yearlong review, europe approves google’s fitbit acquisition."
2020-12-17,microsoft’s lessons for google
2020-12-17,google’s legal peril grows in face of third antitrust suit
2020-12-21,google denies antitrust claims in early response to u.s. lawsuit
2021-01-04,"hundreds of google employees unionize, culminating years of activism"
2021-01-04,we built google. this is not the company we want to work for.
2021-01-09,"parler pitched itself as twitter without rules. not anymore, apple and google said."
2021-01-10,"amazon, apple and google cut off parler, an app that drew trump supporters"
2021-01-10,"apple, google and amazon kick parler off their platforms"
2021-01-13,google bans political ads until the inauguration.
2021-01-17,behind a secret deal between google and facebook
2021-01-19,behind the google-facebook deal that is the focus of an antitrust suit.
2021-01-22,google-linked balloon project to provide cell service will close
2021-01-22,an australia with no google? the bitter fight behind a drastic threat
2021-01-25,google to lend its facilities for use as vaccine clinics.
2021-01-29,my attempt to prepare for a future without google
2021-01-30,a west virginia newspaper company is suing google and facebook over online ads.
2021-02-16,north dakota lawmakers vote down a bill that threatened apple’s and google’s revenues.
2021-02-17,google is suddenly paying for news in australia. what about everywhere else?
2021-02-17,"facebook blocks news in australia, diverging with google on proposed law"
2021-02-17,facebook restricts the sharing of news in australia as google says it will pay some publishers.
2021-02-20,a second google a.i. researcher says the company fired her.
2021-03-09,google and facebook killed free
2021-03-16,google reduces some app-store fees amid criticism.
2021-03-17,what the u.s. missed with google
2021-03-31,google to welcome some employees back to office in april.
2021-03-31,google will likely allow some us employees to return to offices in april
2021-03-31,google is accelerating partial reopening of offices and putting limits on future of remote work
2021-03-31,google settles with labor board in win for new union
2021-03-31,alphabet (googl) introduces advanced updates on google maps
2021-03-31,you should think of investing in alphabet stock as a perennial good buy
2021-03-31,google versus the faangs: how it compares and where it is headed
2021-03-31,google pledges $29 million to new eu fund to tackle fake news
2021-03-31,google says 'not up to us' to dictate how news companies spend its $1 billion
2021-03-31,"google, bmw, volvo, and samsung sdi sign up to wwf call for temporary ban on deep-sea mining"
2021-03-31,"google's 'teacher approved' apps mislead on kids' privacy, activists tell ftc"
2021-03-31,google to contribute $25 million to new eu fund to fight fake news
2021-03-30,"t-mobile us winding down tv services, will offer alphabet's youtube tv"
2021-03-30,alphabet inc. (goog) stock moves -0.02%: what you should know
2021-03-30,capitol report: clean air task force joins google and others to push biden to buy 24/7 carbon-free electricity
2021-03-30,"google, u.s. government tangle over pre-trial document production"
2021-03-30,"the wall street journal: t-mobile scrapping tv-service plans, will partner with google's youtube tv instead"
2021-03-30,albertsons taps google to 'reinvent the future of grocery shopping'
2021-03-30,"t-mobile extends google partnership to promote youtube tv, terminates tvision live-tv service: report"
2021-03-30,why google's speedy recovery in digital advertising impresses stifel analyst
2021-03-30,t-mobile (tmus) & google to offer more services to customers
2021-03-30,albertsons partners with google to bring ai and other advanced technologies to grocery customers
2021-03-19,google: regulatory threat is not new to google: alphabet cfo ruth porat
2021-03-19,u.s. doj accuses google of dragging its feet in antitrust trial
2021-03-19,"3 reasons alphabet stock is underperforming, yet resilient"
2021-03-19,the trade desk could be the winner of google's cookieless world
2021-03-19,when is the right time to buy google stock following yesterday's dip?
2021-03-18,getting back to work: google bets $7 billion on the office
2021-03-18,google doubles down on office space despite the rise in remote work
2021-03-18,google's chrome browser cookie blocking triggers antitrust probe: reuters
2021-03-18,"google to invest $7b in us office, data center expansion"
2021-03-18,exclusive: google's privacy push draws u.s. antitrust scrutiny - sources
2021-03-18,"google to invest over $7 billion in u.s. offices, data centers this year"
2021-03-18,google to spend $7 billion in data centers and office space in 2021
2021-03-18,alphabet stock is not that great of a value but it will keep rising
2021-03-17,google stock outperforming the rest of the faangs so far in 2021
2021-03-17,here's how washington blew its chance to break up google
2021-03-17,7 stocks to avoid that remain at the mercy of google
2021-03-16,alphabet's google slashes app store fees
2021-03-16,alphabet inc. (goog) gains as market dips: what you should know
2021-03-16,alphabet (googl) gains as market dips: what you should know
2021-03-16,google and apple are giving up less than 5% of their revenue from apps with payout changes: estimate
2021-03-16,google app store cutting developer service fees on first $1 million in sales
2021-03-16,"google pushes deeper in health tech, adds sleep tracking to nest: bloomberg"
2021-03-16,google to cut app store fees for developers after apple move
2021-03-16,"final trades: alphabet, taiwan semi, unum group & more"
2021-03-16,several u.s. states join texas lawsuit against google
2021-03-16,google follows apple's move by slashing app store fees by 50%
