Date,Headline
2019-01-04,Tracking the Demise of My Marriage on Google Maps
2019-01-11,Board Sued Over Google’s Exit Package for Accused Executive
2019-01-16,"O.K., Google: How Much Money Have I Made for You Today?"
2019-01-18,The Week in Tech: How Google and Facebook Spawned Surveillance Capitalism
2019-01-21,Google Is Fined $57 Million Under Europe’s Data Privacy Law
2019-02-06,"Google and Waze Must Stop Sharing Drunken-Driving Checkpoints, New York Police Demand"
2019-02-13,Apple and Google Urged to Dump Saudi App That Lets Men Track Women
2019-02-21,Google Ends Forced Arbitration for All Employee Disputes
2019-03-04,Google Finds It’s Underpaying Many Men as It Addresses Wage Equity
2019-03-07,Even Google Can No Longer Hide Its Gender Pay Gap
2019-03-11,Google Approved $45 Million Exit Package for Executive Accused of Misconduct
2019-03-19,Google Introduces Streaming Video Game Service
2019-03-20,Google Fined $1.7 Billion by E.U. for Unfair Advertising Rules
2019-03-25,He Tried to Bilk Google and Facebook Out of $100 Million With Fake Invoices
2019-03-26,Inside Google’s Rebooted Robotics Program
2019-04-03,Google Returns
2019-04-05,Therapy and the Google Complex
2019-04-13,"Tracking Phones, Google Is a Dragnet for the Police"
2019-04-13,Google’s Sensorvault Is a Boon for Law Enforcement. This Is How It Works.
2019-04-15,"Google, Trump, Tiger Woods: Your Monday Briefing"
2019-04-22,Google Employees Say They Faced Retaliation After Organizing Walkout
2019-04-23,"Sri Lanka, Google, Philippines: Your Tuesday Briefing"
2019-04-23,I Used to Work for Google. I Am a Conscientious Objector.
2019-04-24,"Wing, Owned by Google’s Parent Company, Gets First Approval for Drone Deliveries in U.S."
2019-04-30,"Eric Schmidt to Leave Alphabet Board, Ending an Era That Defined Google"
2019-05-01,"Who Is Ruth Asawa, the Artist in Today’s Google Doodle?"
2019-05-07,Google Pixel 3A Review: The $400 Smartphone You’ve Been Waiting For
2019-05-07,Google Says It Has Found Religion on Privacy
2019-05-08,Google’s Sundar Pichai: Privacy Should Not Be a Luxury Good
2019-05-10,The Week in Tech: Facebook and Google Reshape the Narrative on Privacy
2019-05-14,"Attention, Amazon Shoppers: Google Wants Some of Your Spending Money"
2019-05-17,You’re Not Alone When You’re on Google
2019-05-20,"U.S. Tech Suppliers, Including Google, Restrict Dealings With Huawei After Trump Order"
2019-05-20,Tech Stocks Sink After Google Cuts Huawei Off Android Support
2019-05-20,"As Huawei Loses Google, the U.S.-China Tech Cold War Gets Its Iron Curtain"
2019-05-21,Google Changes Abortion Ad Policy
2019-05-22,Google’s Duplex Uses A.I. to Mimic Humans (Sometimes)
2019-05-28,Google’s Shadow Work Force: Temps Who Outnumber Full-Time Employees
2019-05-29,On Migrant Journeys With WhatsApp and Google Translate
2019-05-30,Google Should Google the Definition of ‘Employee’
2019-06-01,Justice Dept. Explores Google Antitrust Case
2019-06-02,Google and Amazon Are at the Center of a Storm Brewing Over Big Tech
2019-06-02,"Google Disruptions Affect Gmail, YouTube and Other Sites"
2019-06-04,Why Does Google Know Everything You’ve Bought on Amazon for the Past Six Years?
2019-06-06,Google to Buy Data Analytics Company Despite New Antitrust Scrutiny
2019-06-09,"Google Made $4.7 Billion From the News Industry in 2018, Study Says"
2019-06-12,"‘Oversharing’ on Google Calendar, and Making Sure Readers Come Back for More"
