Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56
2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,1,how amazon geico and walmart fund propaganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,1,amazon powers ahead with robust profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,0,how amazon keeps defying gravity,mcdonald&quot;s nike amazon.com: stocks that defined the week,early diwali hits amazon q4 growth rate by around 300 basis points,amazon storms back into $1 trillion club after raking in sales of 30m per hour over christmas,amazon (briefly) tops $1 trillion in market cap     - cnet,exxon mobil amgen fall; amazon ibm rise,bulls raise amazon targets on grocery strength,amazon says it paid billions in taxes in 2019,tesla: tracking the amazon/apple paradigms and it&quot;s still early days,big investments in cloud one-day shipping push amazon stock to highs,premarket prep recap: amazon&quot;s huge q4 beat can&quot;t save the markets,amazon&quot;s jeff bezos adds $13 bn to his fortune in 15 mins; stock rises,story stocks: amazon impresses with higher profits despite continued investments (amzn),consultant insight: a &quot;mutually beneficial relationship&quot; benefits both ups and amazon,amazon sellers: the good the bad the ugly,amazon: why i&quot;m now more bullish than ever,apple amazon microsoft and alphabet have traveled similar paths on the road to $1 trillion,how amazon&quot;s competition is pushing shopify stock higher,amazon: one of the best long-term investment in the tech sector,amazon rejoins $1tn club on blockbuster earnings,stocks making the biggest moves midday: amazon ibm delta luckin & more,consumer discretionary sector is the only one gaining but it&quot;s because of just one stock--amazon,stock market update: amazon making shareholders proud on this downbeat day,the buyer wasn&quot;t amazon but a piece of westphalia has sold,amazon&#39;s grocery deliveries are spiking - here&#39;s how grocery stores can compete,stock market news: amazon&quot;s amazing; amgen falls short,amazon delivers in a big way and analysts say there&quot;s even more upside,amazon web services: a knockout performance in q4,this amazon ninja backpacked through 80 countries creating multi-million dollar startups along the way,one-day shipping program lifts amazon sales,stock market update: amazon reaches $1 trillion valuation,the 5 best amazon deals you can get this friday,concerns over amazon web services are &quot;overdone&quot;: analyst,the ratings game: amazon could redesign whole foods stores to accommodate online grocery delivery orders: keybanc,amazon investors ignore these facts in the $1 trillion market cap frenzy,warren buffett&quot;s big amazon investment is finally paying off 8 months after he lamented not buying sooner (amzn brka),us stocks fall amid virus fears despite amazon surge,here&quot;s why amazon&quot;s stock jumped 10% friday morning,are analysts overly optimistic on amazon after earnings?,wall street falls on virus concerns amazon limits losses,us stocks-wall street falls on virus concerns amazon limits losses,amazon roars back into $1 trillion club powered by one-day delivery boost,amazon q4 earnings put these etfs in focus,,,,,,,,,,,,,
2020-02-03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,1,the best movies and tv shows new to netflix amazon and stan in australia in february,why bernie sanders praised amazon,amazon looks to question trump in pentagon contracting case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,0,the trouble with breaking up amazon? its online store is so good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1,judge halts work on microsoft’s jedi contract a victory for amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,1,review: al pacino and nazis in amazon’s ‘hunters’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,0,clicking buy on amazon? it’s trying to prevent a coronavirus caveat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,0,my mom my dad and amazon’s alexa,amazon confronts criticism over ‘hunters’ and sale of nazi propaganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,0,unions push f.t.c. to study if amazon warps the economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,1,amazon (amzn) stock moves -0.03%: what you should know,amazon sells books that claim satan caused the coronavirus,walmart&quot;s new membership program can&quot;t beat amazon prime experts say,amazon defers &quot;non-essential&quot; moves even in u.s. as corporate travel bans spread,update 2-amazon defers &quot;non-essential&quot; moves even in u.s. as corporate travel bans spread,amazon&quot;s brian huseman has a plan for how hq2 can grow with the community,microsoft sony amazon and others drop out of gdc over coronavirus concerns     - cnet,amazon restricting travel in new virus measure,amazon restricting non-essential u.s. travel for employees: report,amazon tells employees to defer all non-essential travel due to coronavirus,update 1-amazon tells employees to defer all non-essential travel due to coronavirus,amazon tells employees to pause non-essential travel in u.s. due to coronavirus,will walmart+ be equal to or greater than amazon prime?,amazon bans 1 million products due to coronavirus claims,walmart builds amazon prime competitor rivalry heats up,amazon now operates seven different kinds of physical stores. here&quot;s why     - cnet,9 reasons labor unions think amazon deserves ftc scrutiny,amazon roku hulu youtube and vudu among the brands presenting at iab&quot;s 8-day newfronts event,new ontrac automated hub shows there is life after amazon,the 5 best amazon deals you can get this friday,wayfair hunts profits after copying amazon&quot;s growth model,edward jones upgrades amazon.com (nasdaq:amzn) to buy,walmart&quot;s launching an amazon prime-type service,amazon removes 1 million products claiming to cure coronavirus     - cnet,the best movies and tv shows coming to netflix hbo amazon prime and hulu in march,unions push the ftc to investigate amazon for &quot;anti-competitive practices&quot;,this week: liontrust/bny mellon; amazon/digital asset; tp icap; artemis/ hazeltree; equilend & simcorp,how amazon&quot;s go grocery store &quot;won another battle&quot; against retail,firestone capital management purchases shares of 400 amazon.com inc. (nasdaq:amzn),cognios capital llc lowers stake in amazon.com inc. (nasdaq:amzn),amazon.com inc. (nasdaq:amzn) is employees retirement system of texas&quot; 5th largest position,edward jones joins bull party on amazon,amazon.com inc. (nasdaq:amzn) position increased by greenwich wealth management llc,unions hope to sic ftc on amazon,forget amazon (nasdaq:amzn): buy this canadian growth stock instead!,wayfair copied amazon to grow fast. now it searches for profits,629 shares in amazon.com inc. (nasdaq:amzn) bought by columbia trust co 01012016,,,,,,,,,,,,,,,,,,,
2020-03-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0,the best movies and tv shows new to netflix amazon and stan in australia in march,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,1,the best movies and tv shows coming to netflix amazon and more in march,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
