Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-01-02,1,need a laptop? this dell inspiron 11 3200 2-in-1 is $157 off     - cnet,dell launches new xps 13 laptops,dell to let apple users control iphones from their laptop,"dell xps 13 gets a bigger screen, while its latitude 9510 laptop claims 30-hour battery life     - cnet","dell technologies launches new era of pcs and displays with 5g, ai and premium design for work and play","richard j. rothberg sells 141,454 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,
2020-01-03,0,dell to let users mirror iphone&quot;s screen on their laptops,dell&quot;s upcoming xps 13 linux laptop includes a highly requested new feature,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,dell (dell) expands offerings with new products &amp; software,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0,at ces 2020 lenovo and dell point to new foldable devices possibly coming to market later this year,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0,"dell technologies moves up in market cap rank, passing universal health services","dell inc. (nyse:dell) insider steven h. price sells 136,666 shares","steven h. price sells 136,666 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,dell june 19th options begin trading,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1,dell inc. (nyse:dell) stake lessened by boston trust walden corp,boston trust walden corp lowers stake in dell inc. (nyse:dell),"insider selling: dell inc. (nyse:dell) cfo sells $4,874,950.00 in stock",,,,,,,,,,,,,,,,,,,,,
2020-01-14,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,0,"johanson financial advisors inc. acquires shares of 116,912 dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1,dell (nyse:dell) downgraded to sell at valuengine,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,0,ingalls & snyder llc sells 311 shares of dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,0,how dell transformed into an end-to-end enterprise player,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,1,dell inc. (nyse:dell) shares purchased by wedbush securities inc.,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,bear of the day: dell technologies (dell),,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,0,"arista beats dell, cisco, gigamon and juniper to buy big switch networks",extremely positive media coverage extremely unlikely to affect dell (nyse:dell) share price,dell (nyse:dell) receives daily news impact rating of 5.00,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,douglas lane & associates llc reduces stock position in dell inc. (nyse:dell),"microsoft, dell donate to fight coronavirus outbreak",dell (nyse:dell) upgraded to hold at valuengine,,,,,,,,,,,,,,,,,,,,,
2020-01-29,1,best buy flash sale: 4 great deals from hp and dell     - cnet,"dell (nyse:dell) raised to ""hold"" at valuengine",dowling & yahnke llc trims stock holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-01-30,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,0,reach out and touch a dell xps 13 for just $784     - cnet,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,"janney montgomery scott llc has $583,000 position in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,1,,,,,,,,,,,,,,,,,,,,,,,,
