Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46
2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,0,microsoft&quot;s brad smith: we need more tech regulation,microsoft&quot;s surface success is chasing down apple&quot;s boring macbook,"tech daily: apple, facebook, microsoft, amd earnings","dupont, carnival fall; microsoft, tesla rise",microsoft&quot;s surface duo can beat samsung with two features,"microsoft is pulling away from competitors, as a banner quarter shows",microsoft&quot;s chief financial officer in portugal shares lessons from her childhood,dow jones news: microsoft and coca-cola report strong results,"stocks making the biggest moves midday: tesla, penn national gaming, facebook, microsoft & more",the ratings game: microsoft stock rallies amid chorus of earnings praise: &quot;what more could you want?&quot;,microsoft&quot;s azure returns to growth: 5 etfs to buy,microsoft shares hit an all-time high after company crushes earnings forecasts,culture is the most surprising reason microsoft stock will keep rising,story stocks: microsoft&quot;s strong cloud growth has shares floating to new highs (msft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,0,"top stock analyst reports for microsoft, facebooknovartis","apple, amazon, microsoft and alphabet have traveled similar paths on the road to $1 trillion","now in microsoft 365: new tools for firstline workers, supercharged search and more",himss 20 coming in march; microsoft health innovation awards 2020 now open for submission,is microsoft (msft) stock outpacing its computer and technology peers this year?,another stellar quarter for microsoft,xbox series x vs playstation 5: microsoft has one pretty huge advantage over sony,microsoft issues excel security alert as $100 million &quot;evil corp&quot; campaign evolves,microsoft co. (nasdaq:msft) shares sold by columbus circle investors,columbus circle investors decreases position in microsoft co. (nasdaq:msft),microsoft (nasdaq:msft) reaches new 12-month high after earnings beat,microsoft (nasdaq:msft) sets new 12-month high following strong earnings,microsoft (nasdaq:msft) earns daily coverage optimism rating of -1.18,brand asset management group inc. sells 152 shares of microsoft co. (nasdaq:msft),"birch capital management llc purchases shares of 29,708 microsoft co. (nasdaq:msft)",autus asset management llc has $1.54 million holdings in microsoft co. (nasdaq:msft),autus asset management llc sells 325 shares of microsoft co. (nasdaq:msft),microsoft co. (nasdaq:msft) stock holdings raised by 10 15 associates inc.,microsoft (nasdaq:msft) receives buy rating from bank of america,microsoft (nasdaq:msft) shares gap up  following better-than-expected earnings,microsoft (nasdaq:msft) shares gap up  following strong earnings,why microsoft and tesla are the decade&quot;s big disrupters,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1,"judge halts work on microsoft’s jedi contract, a victory for amazon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,1,microsoft issues financial warning because of coronavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,0,microsoft warning is a harbinger of coronavirus impact on business and the economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,1,"microsoft, walt disney, gilead sciences: stocks that defined the week","microsoft, sony, amazon and others drop out of gdc over coronavirus concerns     - cnet","coronavirus stock market correction takes hold as dow jones suffers worst week loss in years; microsoft, mastercard warn, disney ceo bob iger out","microsoft loses $232 billion in market cap in 7 days - watch for this &quot;buy zone,&quot; trader says","ibm, microsoft sign on with pope francis to fight ai bias and misuse of facial recognition",microsoft for healthcare at himss 2020: what to look for at march 9-13 event,"refile-update 1-vatican joins ibm, microsoft to call for facial recognition regulation",why is microsoft (msft) down 8.5% since last earnings report?,"what&quot;s new to microsoft 365 in february: improved collaboration across apps, customized experiences","vatican joins ibm, microsoft to call for facial recognition regulation","update 1-vatican joins ibm, microsoft to call for facial recognition regulation",the console war is over because sony left microsoft behind from the start,"the zacks analyst blog highlights: microsoft, chevron, accenture, coca-cola and charles schwab","gladstone capital management llp buys 154,980 shares of microsoft co. (nasdaq:msft)",investment management of virginia llc has $8.46 million stock position in microsoft co. (nasdaq:msft),"intercontinental wealth advisors llc sells 1,577 shares of microsoft co. (nasdaq:msft)",microsoft co. (nasdaq:msft) holdings boosted by glassman wealth services,benjamin f. edwards & company inc. grows stock holdings in microsoft co. (nasdaq:msft),microsoft (nasdaq:msft) trading down 7%,ami investment management inc. sells 350 shares of microsoft co. (nasdaq:msft),"pope to endorse principles on ai ethics with microsoft, ibm","microsoft&quot;s (msft) ""buy"" rating reiterated at royal bank of canada",microsoft (nasdaq:msft) rating reiterated by jpmorgan chase & co.,deutsche bank reaffirms buy rating for microsoft (nasdaq:msft),microsoft invests in a new ai for health initiative,,,,,,,,,,,,,,,,,,,,,
2020-03-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,"a botnet is taken down in an operation by microsoft, not the government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,bill gates stepping down from microsoft’s board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
