Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7
2014-01-02,0,[],[],[],[],[],[],[],[],[],[],,,,,,,
2014-01-03,0,[-1.1655890000000682],[],[],[],[],[],[],[],[],[],,,,,,,
2014-01-06,0,[-4.981322999999975],[-1.1655890000000682],[],[],[],[],[],[],[],[],when doctors ‘google’ their patients,,,,,,
2014-01-07,0,[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],[],[],[],[],[],,,,,,,
2014-01-08,0,[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],[],[],[],[],,,,,,,
2014-01-09,0,[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],[],[],[],,,,,,,
2014-01-10,1,[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],[],[],gmail plans to allow google plus users to send anyone an email,a desperate plot to boost google plus,google+ hangout on human trafficking,,,,
2014-01-13,1,[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],[],"for google, a toehold into goods for a home",,,,,,
2014-01-14,0,[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],[],google and nest: two companies in the business of understanding you,"shooting for the moon, google hopes to own the future","daily report: with $3.2 billion deal for nest, google makes a play for your home",how have tools like google and youtube changed the way you work?,google effect stirs several stocks,google fans the flame of connectivity,
2014-01-15,1,[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],[],facebook revamps ads to compete with google,,,,,,
2014-01-16,0,[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],[-1.1655890000000682],why it may take more than former google stars to turn yahoo around,,,,,,
2014-01-17,0,[3.5466919999998936],[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],[2.1469730000000027],[-4.981322999999975],,,,,,,
2014-01-21,0,[],[-3.148194000000103],[3.5466919999998936],[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],[6.904113999999936],,,,,,,
2014-01-22,0,[1.3798219999999901],[],[-3.148194000000103],[3.5466919999998936],[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],[-2.3760989999999538],,,,,,,
2014-01-23,0,[-0.7919919999999365],[1.3798219999999901],[],[-3.148194000000103],[3.5466919999998936],[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],[-6.575378000000114],google tools for globetrotters,,,,,,
2014-01-24,1,[0.04986600000006547],[-0.7919919999999365],[1.3798219999999901],[],[-3.148194000000103],[3.5466919999998936],[-2.176819000000023],[5.703673999999978],[-1.7384640000000218],[-4.433411000000092],google pushes back against data localization,,,,,,
